player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,games,plate_appearances,at_bats,runs,hits,doubles,triples,home_runs,total_bases,runs_batted_in,stolen_bases,caught_stealing,walks,hit_by_pitch,strikeouts,grounded_into_double_play,sacrifice_flies,sacrifice_hits,errors,batting_average,slugging_percentage,on_base_percentage,on_base_plus_slugging,as_of_date,is_partial,age_was_corrected,height_cm,weight_kg
55631,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55631,엄준현,20,2006-04-20,IF,R/R,174cm/75kg,서울이수초-언북중-전주고,25 KIA 9라운드 85순위,2026,KIA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,174,75
55636,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55636,박재현,20,2006-12-08,OF,L/R,180cm/73kg,동막초-재능중-인천고,25 KIA 3라운드 25순위,2026,KIA,85,340,312,46,87,11,3,9,131,40,16,3,21,0,64,3,0,7,2,0.279,0.42,0.324,0.744,2026-07-20,True,True,180,73
55767,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55767,한지윤,20,2006-04-10,OF,R/R,188cm/98kg,가동초-휘문중-경기상고,25 한화 3라운드 22순위,2026,한화,3,4,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0.5,0.5,2026-07-20,True,False,188,98
55894,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55894,최윤석,20,2006-04-25,IF,R/R,187cm/93kg,진북초(전주시비전리틀)-전라중-전주고,25 SSG 6라운드 58순위,2026,SSG,6,12,10,1,2,1,0,0,3,0,0,1,1,1,2,2,0,0,0,0.2,0.3,0.333,0.633,2026-07-20,True,False,187,93
55897,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55897,홍대인,25,2001-11-23,C,L/R,174cm/76kg,서원초-세광중-세광고-사이버한국외대(얼리 드래프트),25 SSG 9라운드 88순위,2026,SSG,48,35,32,11,9,4,0,0,13,4,3,1,3,0,5,0,0,0,1,0.281,0.406,0.343,0.749,2026-07-20,True,True,174,76
55926,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=55926,정현창,20,2006-07-14,SS,L/R,177cm/70kg,김해부곡초-부산토현중-부산공고-NC,25 NC 7라운드 67순위,2026,KIA,78,59,52,9,8,1,1,0,11,6,0,0,3,3,22,3,1,0,3,0.154,0.212,0.237,0.449,2026-07-20,True,True,177,70
56005,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56005,이재원,19,2007-04-27,OF,L/R,180cm/80kg,양덕초-창원신월중-마산고,26 KT 6라운드 56순위,2026,KT,6,7,7,1,2,0,1,1,7,2,0,0,0,0,1,0,0,0,0,0.286,1.0,0.286,1.286,2026-07-20,True,False,180,80
56006,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56006,이강민,19,2007-01-27,IF,R/R,181cm/82kg,송호초-안산중앙중-유신고,26 KT 2라운드 16순위,2026,KT,55,162,150,13,28,1,0,0,29,15,0,0,8,1,41,4,1,2,8,0.187,0.193,0.231,0.424,2026-07-20,True,False,181,82
56034,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56034,힐리어드,32,1994-02-21,IF,L/L,196cm/107kg,미국 Mansfield(고)-미국 Wichita State(대),26 KT 자유선발,2026,KT,87,385,345,64,101,14,3,23,190,80,7,2,36,0,106,3,4,0,4,0.293,0.551,0.356,0.907,2026-07-20,True,False,196,107
56215,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56215,최주형,20,2006-08-19,P,L/L,174cm/70kg,거제고현초(거제시리틀)-외포중-마산고,26 두산 2라운드 17순위,2026,두산,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,174,70
56236,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56236,세베리노,27,1999-10-03,IF,S/R,0cm/0kg,,26 두산 자유선발,2026,두산,4,18,14,2,3,1,0,0,4,1,0,0,4,0,5,0,0,0,0,0.214,0.286,0.389,0.675,2026-07-20,True,False,,
56251,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56251,카메론,29,1997-01-15,OF,R/R,183cm/83kg,미국 Eagle's Landing(고)-두산,26 두산 자유선발,2026,두산,75,314,279,39,80,19,3,9,132,43,9,0,30,3,53,9,2,0,5,0.287,0.473,0.36,0.833,2026-07-20,True,False,183,83
56304,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56304,박한결,19,2007-12-05,IF,L/R,180cm/79kg,진북초-전라BC-전주고,26 키움 1라운드 10순위,2026,키움,14,41,39,1,5,1,0,0,6,0,0,0,2,0,12,0,0,0,1,0.128,0.154,0.171,0.325,2026-07-20,True,False,180,79
56305,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56305,히우라,30,1996-08-02,IF,R/R,178cm/94kg,미국 Valencia(고)-미국 California(대),26 키움 자유선발,2026,키움,38,171,149,22,41,4,0,7,66,27,0,0,18,3,54,3,1,0,2,0.275,0.443,0.363,0.806,2026-07-20,True,False,178,94
56322,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56322,브룩스,31,1995-07-03,OF,L/L,180cm/88kg,미국 Granite Hills(고)-미국 Nevada(대)-키움,26 키움 자유선발,2026,키움,41,161,143,11,31,6,0,0,37,16,1,0,14,1,24,1,3,0,1,0.217,0.259,0.286,0.545,2026-07-20,True,False,180,88
56326,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56326,김지석,19,2007-02-19,IF,L/R,185cm/83kg,인천첨단초(연수구리틀)-동인천중-인천고,26 키움 2라운드 11순위,2026,키움,17,56,49,3,11,1,0,1,15,3,0,0,1,2,9,1,1,3,4,0.224,0.306,0.264,0.57,2026-07-20,True,False,185,83
56337,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56337,박지성,19,2007-03-16,P,R/R,190cm/93kg,서울도곡초-대치중-서울고,26 키움 3라운드 21순위,2026,키움,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,190,93
56338,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56338,최재영,19,2007-01-08,IF,R/R,183cm/85kg,강남초-강남중-휘문고,26 키움 4라운드 40순위,2026,키움,23,31,28,7,3,1,0,0,4,4,0,0,2,0,12,1,1,0,3,0.107,0.143,0.161,0.304,2026-07-20,True,False,183,85
56531,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56531,로드리게스,28,1998-03-31,P,R/R,193cm/97kg,도미니카 Cenapec Online(고),26 롯데 자유선발,2026,롯데,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,193,97
56563,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56563,이서준,19,2007-10-10,IF,R/R,183cm/83kg,부산수영초-경남중-부산고,26 롯데 3라운드 24순위,2026,롯데,4,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,2026-07-20,True,False,183,83
56595,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56595,김한홀,20,2006-12-12,OF,L/R,189cm/83kg,서울도곡초-휘문중-휘문고,26 롯데 5라운드 44순위,2026,롯데,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,2026-07-20,True,False,189,83
56613,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56613,아데를린,35,1991-11-18,IF,R/R,191cm/108kg,도미니카 Centro Educativo Los Palmares(고)-KIA,26 KIA 부상 대체 외국인선수,2026,KIA,32,130,121,17,32,5,0,10,67,31,0,0,7,1,25,4,1,0,4,0.264,0.554,0.308,0.862,2026-07-20,True,False,191,108
56626,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56626,카스트로,33,1993-11-30,OF,L/R,183cm/88kg,베네수엘라 U.E.N. Luis Mariano Rivera(고),26 KIA 자유선발,2026,KIA,45,189,176,32,57,15,0,7,93,37,0,0,10,0,34,4,3,0,1,0.324,0.528,0.354,0.882,2026-07-20,True,False,183,88
56632,https://www.koreabaseball.com/Record/Player/HitterDetail/Basic.aspx?playerId=56632,데일,26,2000-09-11,IF,R/R,188cm/90kg,호주 McKinnon(고)-KIA,26 KIA 아시아쿼터,2026,KIA,34,135,117,20,30,4,0,1,37,6,1,0,13,0,14,4,1,4,9,0.256,0.316,0.328,0.644,2026-07-20,True,False,188,90
