player_id,source_url,player_name,age,birth_date,position,bat_throw,height_weight,career,draft,season,team,earned_run_average,games,complete_games,shutouts,wins,losses,saves,holds,winning_percentage,batters_faced,innings_pitched_display,hits_allowed,home_runs_allowed,walks_allowed,hit_batters,strikeouts,runs_allowed,earned_runs,age_was_corrected,height_cm,weight_kg,innings_pitched_outs
64956,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=64956,웨버,30,1984-09-28,P,R/R,189cm/93kg,미국 네브래스카대-NC,14 NC 자유선발,2014,NC,4.58,24,1,0,9,6,0,0,0.6,512,118,132,13,42,3,85,66,60,False,189,93,354
67845,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=67845,밴와트,28,1986-02-14,P,R/R,191cm/100kg,미국 고다드고-미국 위치타대-SK,14 SK 자유선발,2014,SK,3.11,11,0,0,9,1,0,0,0.9,282,66 2/3,56,6,26,5,56,27,23,False,191,100,200
70142,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=70142,김광수,33,1981-05-05,P,R/R,182cm/84kg,인천숭의초-상인천중-인천고-LG-한화,00 LG 2차 2라운드 11순위,2014,한화,,1,0,0,0,0,0,0,,3,0,3,1,0,0,0,3,3,False,182,84,0
70329,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=70329,마일영,33,1981-05-28,P,L/L,177cm/95kg,대전신흥초-충남중-대전고-(경기대)-현대-히어로즈-한화,00 쌍방울 2차 1라운드 1순위,2014,한화,8.55,19,0,0,0,0,0,1,,106,20,32,1,9,4,8,20,19,False,177,95,60
70425,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=70425,배영수,33,1981-05-04,P,R/R,184cm/97kg,칠성초-경복중-경북고-삼성-한화-두산,00 삼성 1차,2014,삼성,5.45,25,1,0,8,6,0,0,0.571,597,133 2/3,171,14,39,5,111,87,81,False,184,97,401
70615,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=70615,강영식,33,1981-06-17,P,L/L,189cm/100kg,칠성초-경복중-대구상원고-해태-삼성-롯데,00 해태 2차 2라운드 10순위,2014,롯데,4.79,52,0,0,2,5,0,14,0.286,203,47,46,4,24,2,42,25,25,False,189,100,141
70839,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=70839,신승현,31,1983-08-13,P,R/R,193cm/102kg,금평초-전주동중-전주고-(전남과학대)-SK-KIA,00 쌍방울 2차 11라운드 81순위,2014,LG,5.87,11,0,0,0,0,0,1,,81,15 1/3,21,2,9,4,12,15,10,False,193,102,46
70855,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=70855,엄정욱,33,1981-06-18,P,R/R,191cm/94kg,수유초-중앙중-중앙고,00 쌍방울 2차 2라운드 9순위,2014,SK,9.0,5,0,0,0,1,0,0,0.0,17,3,4,1,4,0,3,3,3,False,191,94,9
71118,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=71118,이동현,31,1983-01-12,P,R/R,192cm/98kg,영일초-영남중-경기고-LG,01 LG 1차,2014,LG,2.73,61,0,0,5,1,2,23,0.833,250,59 1/3,54,2,21,8,38,18,18,False,192,98,178
71255,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=71255,김태영,34,1980-04-07,P,R/R,181cm/82kg,관산초-중앙중-부천고-한라대-두산-상무-두산,01 두산 2차 1라운드 8순위,2014,KIA,5.68,48,0,0,5,4,1,11,0.556,228,50 2/3,56,6,17,5,45,34,32,False,181,82,152
71260,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=71260,이재우,34,1980-02-09,P,R/R,183cm/82kg,고명초-건대부중-휘문고-탐라대-두산-한화,98 OB 2차 11라운드 84순위,2014,두산,5.02,11,0,0,1,2,0,1,0.333,176,37 2/3,41,5,22,3,30,21,21,False,183,82,113
71801,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=71801,정대현,36,1978-11-10,P,R/R,185cm/101kg,군산중앙초-군산중-군산상고-경희대-SK-롯데,97 쌍방울 2차우선,2014,롯데,4.07,60,0,0,4,2,2,13,0.667,181,42,40,2,13,6,27,19,19,False,185,101,126
71845,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=71845,채병용,32,1982-04-25,P,R/R,185cm/100kg,군산초-신월중-신일고-SK,01 SK 2차 6라운드 34순위,2014,SK,6.37,27,1,0,8,12,0,0,0.4,585,130,151,27,49,8,87,94,92,False,185,100,390
71851,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=71851,김건한,33,1981-03-26,P,R/R,182cm/82kg,포항초-포철중-포철공고-SK-KIA-상무-KIA,01 SK 2차 1라운드 1순위,2014,삼성,5.45,34,0,0,0,1,1,0,0.0,166,36 1/3,42,2,9,8,23,27,22,False,182,82,109
72216,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72216,이재영,35,1979-06-13,P,R/R,187cm/90kg,방배초-선린중-선린인터넷고-영남대-두산-LG,02 두산 1차,2014,SK,6.19,38,0,0,1,0,0,4,1.0,209,48,45,7,28,0,42,35,33,False,187,90,144
72321,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72321,배힘찬,31,1983-12-08,P,R/R,185cm/91kg,가동초-서울경원중-서울고-현대-우리-히어로즈-넥센,02 현대 2차 1라운드 10순위,2014,넥센,5.4,6,0,0,0,0,0,0,,32,6 2/3,11,1,1,0,4,4,4,False,185,91,20
72447,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72447,권혁,31,1983-11-06,P,L/L,192cm/103kg,대구수창초-성광중-포철공고-삼성-한화-두산,02 삼성 1차,2014,삼성,2.86,38,0,0,3,2,0,1,0.6,137,34 2/3,27,4,11,0,38,13,11,False,192,103,104
72463,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72463,안지만,31,1983-10-01,P,R/R,180cm/83kg,칠성초-경운중-대구상고,02 삼성 2차 5라운드 40순위,2014,삼성,3.75,55,0,0,6,3,1,27,0.667,263,62 1/3,51,5,30,4,67,27,26,False,180,83,187
72523,https://www.koreabaseball.com/Record/Player/PitcherDetail/Total.aspx?playerId=72523,고효준,31,1983-02-08,P,L/L,179cm/81kg,서원초-세광중-세광고-롯데-SK-KIA-롯데-LG-SSG-두산,02 롯데 2차 1라운드 6순위,2014,SK,9.18,21,0,0,2,5,0,1,0.286,252,51,67,11,38,5,40,57,52,False,179,81,153
72535,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72535,이명우,32,1982-06-03,P,L/L,185cm/98kg,연동초-개성중-부산공고,02 롯데 2차 2라운드 14순위,2014,롯데,7.02,64,0,0,0,6,0,11,0.0,209,42 1/3,64,1,23,1,31,37,33,False,185,98,127
72551,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72551,이정민,35,1979-03-02,P,R/R,182cm/90kg,동삼초-경남중-경남고-동아대-롯데-상무-롯데,02 롯데 1차,2014,롯데,2.43,25,0,0,1,1,0,8,0.5,152,33 1/3,42,1,15,0,25,14,9,False,182,90,100
72641,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72641,김진우,31,1983-03-07,P,R/R,192cm/110kg,광주서석초-진흥중-진흥고,02 KIA 1차,2014,KIA,5.96,28,0,0,3,4,1,1,0.429,429,90 2/3,100,8,61,7,85,66,60,False,192,110,272
72643,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72643,문수호,31,1983-06-04,P,L/L,185cm/85kg,신곡초-안산중앙중-선린인터넷고-KIA-삼성,02 KIA 2차 2라운드 13순위,2014,NC,6.0,10,0,0,0,1,0,1,0.0,39,9,11,3,1,0,9,6,6,False,185,85,27
72749,https://www.koreabaseball.com/Record/Retire/Pitcher.aspx?playerId=72749,마정길,35,1979-03-13,P,R/R,177cm/95kg,내덕초-청주중-청주기공고-단국대-한화-히어로즈,98 한화 2차 10라운드 74순위,2014,넥센,4.78,56,0,0,3,3,0,7,0.5,285,64,57,9,30,12,55,37,34,False,177,95,192
